merchant_code;nama_merchant;kategori
MCH-5401;Warung Abadi 5401;F&B
MCH-5402;Klinik Berkah 5402;Retail
MCH-5403;Klinik Sejahtera 5403;F&B
MCH-5404;Bengkel Indah 5404;
MCH-5405;Minimarket Berkah 5405;Electronics
MCH-5406;Resto Jaya 5406;Kesehatan
MCH-5407;Minimarket Abadi 5407;F&B
MCH-5408;Toko Jaya 5408;Health
MCH-5409;Bengkel Jaya 5409;Health
MCH-5410;Cafe Jaya 5410;Health
MCH-5411;Klinik Berkah 5411;Food & Beverage
MCH-5412;Cafe Mandiri 5412;Market
MCH-5413;Klinik Jaya 5413;Food & Beverage
MCH-5414;Klinik Sejahtera 5414;Electronics
MCH-5415;Klinik Jaya 5415;Health
MCH-5416;Cafe Mandiri 5416;F&B
MCH-5417;Resto Jaya 5417;F&B
MCH-5418;Minimarket Abadi 5418;
MCH-5419;Minimarket Mandiri 5419;F&B
MCH-5420;Klinik Sentosa 5420;Health
MCH-5421;Klinik Berkah 5421;Health
MCH-5422;Bengkel Indah 5422;Kesehatan
MCH-5423;Warung Mandiri 5423;Electronics
MCH-5424;Warung Mandiri 5424;Kesehatan
MCH-5425;Apotek Makmur 5425;
MCH-5426;Resto Sentosa 5426;F&B
MCH-5427;Warung Mandiri 5427;F&B
MCH-5428;Bengkel Sentosa 5428;Health
MCH-5429;Minimarket Abadi 5429;Health
MCH-5430;Klinik Sentosa 5430;Health
MCH-5431;Apotek Makmur 5431;Retail
MCH-5432;Minimarket Abadi 5432;
MCH-5433;Klinik Berkah 5433;F&B
MCH-5434;Warung Berkah 5434;
MCH-5435;Cafe Indah 5435;Food & Beverage
MCH-5436;Resto Indah 5436;Health
MCH-5437;Bengkel Indah 5437;Retail
MCH-5438;Cafe Sejahtera 5438;Electronics
MCH-5439;Cafe Mandiri 5439;Health
MCH-5440;Bengkel Sentosa 5440;Market
MCH-5441;Bengkel Makmur 5441;Kesehatan
MCH-5442;Klinik Sentosa 5442;Kesehatan
MCH-5443;Warung Abadi 5443;
MCH-5444;Toko Mandiri 5444;Food & Beverage
MCH-5445;Bengkel Berkah 5445;
MCH-5446;Cafe Mandiri 5446;Market
MCH-5447;Minimarket Berkah 5447;Health
MCH-5448;Klinik Jaya 5448;F&B
MCH-5449;Bengkel Sejahtera 5449;Electronics
MCH-5450;Klinik Sejahtera 5450;Health
MCH-5451;Minimarket Berkah 5451;Electronics
MCH-5452;Cafe Mandiri 5452;Food & Beverage
MCH-5453;Klinik Makmur 5453;Electronics
MCH-5454;Cafe Berkah 5454;Health
MCH-5455;Warung Sejahtera 5455;Market
MCH-5456;Bengkel Mandiri 5456;Retail
MCH-5457;Bengkel Sejahtera 5457;
MCH-5458;Resto Makmur 5458;
MCH-5459;Bengkel Berkah 5459;Food & Beverage
MCH-5460;Klinik Indah 5460;Food & Beverage
MCH-5461;Cafe Berkah 5461;
MCH-5462;Cafe Abadi 5462;
MCH-5463;Minimarket Makmur 5463;
MCH-5464;Apotek Makmur 5464;Food & Beverage
MCH-5465;Warung Abadi 5465;F&B
MCH-5466;Toko Jaya 5466;Retail
MCH-5467;Apotek Abadi 5467;
MCH-5468;Toko Abadi 5468;Food & Beverage
MCH-5469;Apotek Makmur 5469;Market
MCH-5470;Cafe Sejahtera 5470;
MCH-5471;Minimarket Jaya 5471;Market
MCH-5472;Minimarket Jaya 5472;Retail
MCH-5473;Bengkel Mandiri 5473;Food & Beverage
MCH-5474;Klinik Indah 5474;Market
MCH-5475;Apotek Jaya 5475;Retail
MCH-5476;Apotek Berkah 5476;Retail
MCH-5477;Minimarket Mandiri 5477;Retail
MCH-5478;Resto Abadi 5478;
MCH-5479;Toko Abadi 5479;Food & Beverage
MCH-5480;Minimarket Sejahtera 5480;
MCH-5481;Bengkel Mandiri 5481;F&B
MCH-5482;Minimarket Mandiri 5482;Retail
MCH-5483;Apotek Indah 5483;Kesehatan
MCH-5484;Cafe Indah 5484;Retail
MCH-5485;Toko Abadi 5485;Market
MCH-5486;Apotek Mandiri 5486;F&B
MCH-5487;Resto Sejahtera 5487;Electronics
MCH-5488;Cafe Mandiri 5488;Market
MCH-5489;Bengkel Jaya 5489;Market
MCH-5490;Resto Mandiri 5490;
MCH-5491;Apotek Berkah 5491;F&B
MCH-5492;Resto Abadi 5492;Kesehatan
MCH-5493;Cafe Jaya 5493;F&B
MCH-5494;Warung Berkah 5494;Food & Beverage
MCH-5495;Minimarket Sejahtera 5495;Retail
MCH-5496;Apotek Sejahtera 5496;Retail
MCH-5497;Cafe Abadi 5497;
MCH-5498;Minimarket Sejahtera 5498;Electronics
MCH-5499;Cafe Sejahtera 5499;
MCH-5500;Bengkel Jaya 5500;Food & Beverage
