trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-305272;19-10-2028;N-15960;BIFAST;MCH-5489;Palembang;1.694.381,99;0
TRX-308133;26-09-2028;N-14864;qris;MCH-6199;BDG;4.765.523,29;6500
TRX-307406;30-10-2028;N-19496;BIFAST;MCH-5970;Denpasar;4.092.014;0
TRX-310589;09-09-2028;N-11837;ATM_LINK;MCH-5061;Padang;8.701.056;6500
TRX-309718;05-09-2028;N-14712;BIFAST;MCH-5220;Jakarta Selatan;4.442.624;6500
TRX-305713;12-09-2028;N-16770;qris;MCH-5225;Bandung;1.773.355;0
TRX-309383;17-10-2028;N-16651;bifast;MCH-5750;SBY;1.992.998;2500
TRX-310680;31-13-2026;N-21765;ATM;MCH-5099;Bandung;7.564.926;
TRX-306878;06-11-2028;N-20850;BIFAST;MCH-5540;Makassar;6.212.731,65;6500
TRX-305043;02-11-2028;N-13762;BIFAST;MCH-5287;Semarang;4.671.834;2500
TRX-309093;22-10-2028;N-21749;bifast;MCH-6099;Balikpapan;3.375.909;6500
TRX-307819;31-13-2026;N-11133;LIVIN;MCH-6093;Pontianak;8.858.075;6500
TRX-308866;30-09-2028;N-17312;BI_FAST;MCH-5703;Palembang;-6.671.948,37;
TRX-310687;25-10-2028;N-21603;BIFAST;MCH-6019;Banjarmasin;4.675.810;6500
TRX-311244;09-11-2028;N-16715;BI_FAST;MCH-6123;Banjarmasin;3.277.701,12;2500
TRX-310834;14-10-2028;N-10403;livin;MCH-5299;Jakarta Selatan;2.766.335;0
TRX-307721;01-11-2028;N-10858;QRIS;MCH-5323;Semarang;2.012.819;0
TRX-311937;28-10-2028;N-19422;BI_FAST;MCH-5184;Pontianak;-8.692.050;2500
TRX-312569;02-11-2028;N-14042;ATM_LINK;MCH-6040;Palembang;767.022;2500
TRX-308902;13-09-2028;N-20722;bifast;MCH-5184;Semarang;6.245.094;6500
TRX-307560;09-11-2028;N-20852;ATM;MCH-5627;Bandung;4.418.768,27;2500
TRX-305312;08-11-2028;N-19818;qris;MCH-6174;Manado;1.956.787,73;2500
TRX-306008;08-10-2028;N-17105;qris;MCH-5333;Bandung;6.511.372;
TRX-311363;22-10-2028;N-10468;QRIS;MCH-5635;Balikpapan;9.761.948;0
TRX-309509;28-10-2028;N-17419;BIFAST;MCH-5574;SBY;316.267;2500
