merchant_code;nama_merchant;kategori
MCH-8001;Apotek Makmur 1;Food & Beverage
MCH-8002;Warung Jaya 2;Electronics
MCH-8003;Apotek Jaya 3;Kesehatan
MCH-8004;Minimarket Berkah 4;Food & Beverage
MCH-8005;Toko Makmur 5;Electronics
MCH-8006;Resto Sentosa 6;Electronics
MCH-8007;Cafe Sejahtera 7;Kesehatan
MCH-8008;Apotek Sejahtera 8;
MCH-8009;Toko Abadi 9;Kesehatan
MCH-8010;Minimarket Jaya 10;Market
MCH-8011;Bengkel Berkah 11;Retail
MCH-8012;Resto Abadi 12;Health
MCH-8013;Bengkel Sentosa 13;Food & Beverage
MCH-8014;Apotek Makmur 14;Retail
MCH-8015;Warung Indah 15;Electronics
MCH-8016;Apotek Abadi 16;Kesehatan
MCH-8017;Apotek Mandiri 17;Health
MCH-8018;Warung Sentosa 18;Health
MCH-8019;Resto Berkah 19;Market
MCH-8020;Resto Indah 20;Retail
MCH-8021;Bengkel Mandiri 21;Kesehatan
MCH-8022;Toko Berkah 22;Health
MCH-8023;Cafe Makmur 23;Health
MCH-8024;Bengkel Makmur 24;Kesehatan
MCH-8025;Bengkel Sejahtera 25;Electronics
MCH-8026;Cafe Jaya 26;F&B
MCH-8027;Warung Sejahtera 27;
MCH-8028;Klinik Sejahtera 28;Retail
MCH-8029;Cafe Makmur 29;F&B
MCH-8030;Cafe Indah 30;Health
MCH-8031;Resto Abadi 31;Market
MCH-8032;Cafe Mandiri 32;Electronics
MCH-8033;Toko Sejahtera 33;F&B
MCH-8034;Klinik Sentosa 34;Electronics
MCH-8035;Warung Indah 35;Electronics
MCH-8036;Toko Mandiri 36;Food & Beverage
MCH-8037;Cafe Mandiri 37;Retail
MCH-8038;Warung Sentosa 38;Electronics
MCH-8039;Warung Jaya 39;Retail
MCH-8040;Cafe Abadi 40;Market
MCH-8041;Klinik Indah 41;Kesehatan
MCH-8042;Apotek Sejahtera 42;Electronics
MCH-8043;Toko Makmur 43;Electronics
