trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-411259;14-06-2026;N-22284;ATM;MCH-10283;Surabaya;4.579.938;2500
TRX-411763;08-07-2026;;ATM_LINK;MCH-9132;SBY;1.449.109,41;0
TRX-404398;19-06-2026;N-21986;LIVIN;MCH-9089;Bandung;6.782.462;0
TRX-403478;28-06-2025;N-20380;LIVIN;MCH-8453;Bandung;6.472.842;2500
TRX-412118;28-02-2026;N-20224;BI_FAST;;Jakarta Selatan;-5.240.923;6500
TRX-409163;21-04-2026;N-22989;TRANSFER;MCH-9907;SBY;3.425.359,06;0
TRX-408147;20-08-2026;N-21937;TRANSFER;;;8.726.738,84;2500
TRX-409512;23-02-2026;N-20466;livin;MCH-8583;Surabaya;9.465.145;2500
TRX-402324;10-05-2025;N-22200;QRIS;MCH-9858;SBY;2.329.143;6500
TRX-414804;09-08-2026;N-21482;LIVIN;;Yogyakarta;4.215.672;2500
TRX-414328;19-03-2026;N-21192;ATM;;Medan;7.535.191;0
TRX-405859;31-03-2025;N-22027;qris;MCH-9756;Medan;5.571.428;6500
TRX-409661;24-01-2025;N-21992;BIFAST;MCH-10543;Jakarta Selatan;3.186.110;6500
TRX-403448;16-08-2026;N-20990;ATM;;Yogyakarta;7.928.087;0
TRX-409234;12-11-2026;N-99999;ATM_LINK;;SBY;6.762.275;2500
TRX-412679;08-04-2026;N-20601;qris;MCH-8428;BDG;3.325.851;6500
TRX-402418;28-08-2025;N-20514;TRANSFER;MCH-10056;Yogyakarta;796.800;6500
TRX-401057;19-04-2026;N-21028;BIFAST;MCH-10963;Jakarta Selatan;-7.885.106;2500
TRX-400896;27-05-2026;N-22764;;;Surabaya;9.739.373;
TRX-408285;11-09-2026;N-20761;TRANSFER;MCH-9016;BDG;4.195.677;0
TRX-403046;02-05-2026;N-20453;LIVIN;MCH-8981;Jkt Sel;3.498.387;2500
TRX-409515;22-01-2025;N-22328;qris;;Medan;8.517.140,39;0
TRX-412999;;N-20765;ATM;;Bandung;9.036.058;0
TRX-400543;09-04-2025;N-20137;livin;MCH-9239;;7.237.480;
TRX-410216;27-01-2025;N-22845;BI_FAST;;BDG;130.848;6500
TRX-403546;17-02-2025;N-20634;LIVIN;;Medan;951.367;0
TRX-403300;08-10-2026;N-20179;ATM;MCH-8810;Medan;9.340.602;6500
TRX-405100;15-08-2026;N-21970;ATM;;;3.301.494,57;6500
TRX-400412;24-01-2026;N-20622;ATM_LINK;MCH-9203;Bandung;911.080,04;6500
TRX-405423;06-06-2026;N-21786;bifast;MCH-9362;Medan;7.933.887;0
TRX-409894;07-11-2025;N-22622;TRANSFER;MCH-10647;Bandung;7.364.774;2500
TRX-411179;16-09-2025;N-21751;LIVIN;MCH-9655;BDG;416.264;6500
TRX-406401;14-01-2026;N-22238;ATM_LINK;;Medan;6.655.542;2500
TRX-409593;21-10-2026;N-20906;LIVIN;MCH-8461;Jkt Sel;8.318.288;2500
TRX-408127;16-09-2025;N-20262;bifast;MCH-8795;Yogyakarta;3.316.668,13;6500
TRX-405961;31-05-2026;N-21099;;;Jakarta Selatan;3.103.065;6500
TRX-402381;21-12-2025;N-22839;TRANSFER;;Medan;5.303.669;2500
TRX-406271;02-08-2025;N-22822;ATM;MCH-9984;SBY;4.124.926;6500
TRX-407321;30-01-2025;N-20417;;MCH-8707;Medan;9.563.404;6500
TRX-408904;20-03-2026;;LIVIN;MCH-10486;Medan;9.891.434;2500
TRX-408769;31-13-2026;N-22336;livin;MCH-10822;Jakarta Selatan;-8.672.295;2500
TRX-400933;08-04-2024;N-21750;livin;MCH-9571;BDG;1.234.669;0
TRX-411138;09-05-2025;N-21838;BIFAST;;;2.450.766;2500
TRX-413303;13-05-2025;;bifast;;Medan;9.936.361;6500
TRX-401685;25-05-2025;N-22600;bifast;;Surabaya;8.515.331;2500
TRX-407251;06-12-2025;N-20843;QRIS;MCH-9745;Jkt Sel;7.252.683,48;2500
TRX-410305;12-01-2025;N-22735;TRANSFER;MCH-8393;BDG;9.317.496;2500
TRX-410828;04-06-2025;N-20525;bifast;;Jkt Sel;1.799.360;6500
TRX-407307;13-10-2025;N-22088;;MCH-10539;Bandung;4.372.619,95;2500
TRX-405850;24-02-2025;N-22135;;;Jakarta Selatan;9.217.283;
TRX-407557;18-09-2025;N-20754;QRIS;MCH-10879;Jakarta Selatan;6.697.151;2500
TRX-411120;22-05-2025;N-21575;BI_FAST;;Surabaya;5.834.017;6500
TRX-410389;23-06-2025;N-22349;LIVIN;MCH-8276;Yogyakarta;4.808.945;2500
TRX-402817;15-01-2024;N-20615;;;Jkt Sel;3.560.046;2500
TRX-413895;18-09-2026;N-22222;ATM_LINK;;SBY;7.890.827;6500
TRX-407043;12-07-2025;N-22109;BI_FAST;;Surabaya;143.194;6500
TRX-401607;28-10-2026;N-22624;bifast;;Medan;9.360.475;2500
TRX-413573;13-01-2026;N-22456;bifast;;Jkt Sel;9.751.361,65;0
TRX-414417;19-06-2026;N-20507;bifast;MCH-9188;Jakarta Selatan;1.150.632;2500
TRX-408834;01-05-2026;N-20290;LIVIN;;Bandung;-5.507.473;0
TRX-413911;08-09-2025;N-21258;BI_FAST;MCH-8401;Jkt Sel;5.182.869;2500
TRX-411647;02-09-2025;N-20843;livin;MCH-9565;Jkt Sel;3.578.638;0
TRX-400151;31-13-2026;N-22588;ATM;MCH-9637;Medan;746.818,23;2500
TRX-413017;23-02-2026;N-20952;ATM;;Yogyakarta;9.391.614;6500
TRX-403548;13-09-2026;;ATM_LINK;MCH-10638;BDG;753.782;0
TRX-405454;14-02-2026;N-21096;LIVIN;;BDG;1.734.023;6500
TRX-414380;07-03-2026;N-20958;LIVIN;MCH-8790;Surabaya;6.864.219;0
TRX-410033;02-09-2025;N-22222;ATM_LINK;MCH-10622;SBY;2.692.726;
TRX-408292;31-13-2026;N-22050;ATM_LINK;;Jakarta Selatan;8.604.901,24;6500
TRX-410320;12-05-2025;N-20375;BIFAST;;Surabaya;4.204.752;6500
TRX-405376;23-05-2026;N-21966;TRANSFER;MCH-10238;;8.155.126;2500
TRX-403820;20-04-2026;N-22710;ATM_LINK;MCH-10767;Jakarta Selatan;1.825.126,40;0
TRX-408198;19-03-2026;N-20119;LIVIN;MCH-9711;Jakarta Selatan;3.006.845,25;6500
TRX-404534;31-07-2025;N-22161;ATM;MCH-10160;Medan;9.454.331;0
TRX-412665;03-04-2026;N-22311;;;Bandung;3.584.940,31;0
TRX-404902;19-06-2026;N-22831;qris;;Surabaya;6.573.825;6500
TRX-402789;13-02-2025;N-20599;qris;MCH-8925;Jkt Sel;6.575.878;0
TRX-410044;27-03-2025;N-20468;BIFAST;;Surabaya;1.840.252,85;6500
TRX-413976;07-07-2026;N-20737;LIVIN;MCH-9696;Medan;5.670.887;6500
TRX-403617;14-04-2025;N-22829;TRANSFER;;Jkt Sel;8.275.257,93;2500
TRX-412297;18-12-2025;N-20424;QRIS;MCH-8175;;9.638.086,62;2500
TRX-403289;14-08-2026;N-20320;bifast;;Jkt Sel;3.276.532,96;0
TRX-411100;17-09-2025;N-20105;BIFAST;;Jakarta Selatan;4.566.303;6500
TRX-404016;25-05-2025;N-22004;QRIS;MCH-9790;Surabaya;5.203.742;0
TRX-404660;31-13-2026;N-22853;LIVIN;MCH-9522;Bandung;891.267;0
TRX-411162;24-06-2025;N-20075;QRIS;;Surabaya;4.498.384;0
TRX-407975;17-11-2025;N-22519;;MCH-9561;Yogyakarta;3.471.152;0
TRX-409080;29-11-2025;N-20216;bifast;;SBY;6.834.674;2500
TRX-413945;26-12-2026;N-20509;TRANSFER;MCH-9338;Medan;6.591.351;0
TRX-403275;04-09-2026;;TRANSFER;MCH-9995;;3.079.223;6500
TRX-407204;28-02-2026;N-21613;ATM;MCH-8768;Surabaya;7.306.121;2500
TRX-412196;22-05-2026;N-21799;BI_FAST;MCH-10173;SBY;4.038.559;0
TRX-406573;03-06-2025;N-21753;ATM_LINK;MCH-8001;SBY;7.549.514;6500
TRX-409286;22-02-2024;N-20301;;;Bandung;3.039.918;2500
TRX-411361;27-04-2025;N-20518;qris;MCH-8518;Yogyakarta;7.129.179;6500
TRX-400103;18-09-2026;N-22732;ATM_LINK;;Medan;7.559.308;0
TRX-405377;10-02-2025;N-21150;livin;MCH-10716;BDG;2.884.848;0
TRX-412815;09-09-2025;N-20041;;MCH-8951;Jakarta Selatan;9.826.116;0
TRX-407646;29-08-2026;;ATM_LINK;MCH-8867;Yogyakarta;9.337.416,10;2500
TRX-411400;12-09-2026;N-20952;BIFAST;;Medan;4.149.589;2500
TRX-404565;28-04-2024;N-21702;;MCH-8414;SBY;6.230.860;6500
TRX-408199;28-10-2026;;TRANSFER;;BDG;3.688.449;6500
TRX-413622;30-09-2026;N-20453;;MCH-10816;Bandung;9.438.023,49;0
TRX-410108;28-10-2026;N-20978;LIVIN;;;2.940.981;2500
TRX-406979;30-09-2025;N-21132;;MCH-10675;BDG;6.799.409;0
TRX-406951;06-04-2026;N-22174;qris;MCH-8046;;8.083.087;6500
TRX-409681;05-08-2025;N-21693;livin;MCH-9825;;7.065.173,42;0
TRX-403205;03-10-2026;N-21123;ATM;;Yogyakarta;4.452.678;0
TRX-405555;04-12-2026;N-22566;qris;;Jakarta Selatan;9.321.410;6500
TRX-403904;29-11-2026;N-20656;LIVIN;;Surabaya;8.417.491;2500
TRX-409064;11-08-2025;N-20694;LIVIN;MCH-9834;Jakarta Selatan;4.793.951;0
TRX-414866;17-05-2026;N-20832;qris;;Yogyakarta;1.025.166;6500
TRX-407678;01-01-2026;N-21854;bifast;;Jakarta Selatan;2.218.922;2500
TRX-408630;19-02-2026;N-21323;ATM_LINK;MCH-8368;Jkt Sel;-4.693.665;2500
TRX-412866;29-09-2026;N-22603;bifast;;Surabaya;5.204.098;2500
TRX-410561;24-06-2026;N-20015;qris;MCH-10089;SBY;7.112.277;6500
TRX-407177;16-12-2025;N-22994;LIVIN;MCH-9232;Bandung;6.097.729;6500
TRX-402496;24-09-2026;N-21711;ATM_LINK;MCH-10586;Yogyakarta;3.004.723;6500
TRX-402684;25-11-2025;;;MCH-9378;Jakarta Selatan;1.983.832;2500
TRX-410773;10-09-2025;N-20388;BI_FAST;MCH-9335;Medan;6.322.862;0
TRX-406384;27-12-2026;N-20089;ATM;;Jkt Sel;1.205.641;0
TRX-405717;20-02-2025;N-21932;qris;;Yogyakarta;6.179.103;2500
TRX-412736;27-07-2025;N-21516;;MCH-9336;SBY;5.882.067;6500
TRX-414580;19-07-2025;N-20824;QRIS;MCH-10186;Jakarta Selatan;6.323.871;2500
TRX-412565;05-04-2025;N-22985;livin;MCH-9725;Jkt Sel;7.250.666,47;6500
TRX-413882;28-11-2025;N-20261;TRANSFER;;Yogyakarta;1.060.402,09;0
TRX-411219;;N-20763;BI_FAST;;Jakarta Selatan;1.836.148;
TRX-405968;23-03-2025;N-21637;BIFAST;;Yogyakarta;7.408.378;2500
TRX-409490;31-08-2025;N-21028;ATM_LINK;MCH-10782;Bandung;8.892.823;2500
TRX-410792;12-08-2025;N-22233;ATM_LINK;;Jakarta Selatan;6.772.728;0
TRX-401890;28-01-2025;N-20306;ATM;MCH-10130;Bandung;1.387.921;6500
TRX-409333;31-10-2026;N-20388;bifast;MCH-10111;BDG;-1.347.178;2500
TRX-405272;10-05-2026;N-22043;bifast;MCH-10997;Yogyakarta;9.667.469;0
TRX-405959;25-03-2025;N-21500;BI_FAST;MCH-9041;Surabaya;8.101.595,42;6500
TRX-413350;14-12-2025;N-22754;livin;;Surabaya;3.382.090;6500
TRX-412211;23-12-2025;;TRANSFER;;Jakarta Selatan;4.800.686;2500
TRX-414718;27-02-2025;N-20652;qris;;;9.709.152;6500
TRX-407803;08-06-2026;N-22777;bifast;MCH-8605;Jakarta Selatan;5.316.554;2500
TRX-402040;07-07-2025;N-20130;ATM_LINK;MCH-8419;Jkt Sel;7.806.136;0
TRX-401625;08-12-2025;N-21599;;;Jakarta Selatan;7.562.850;6500
TRX-411928;19-02-2026;N-22077;TRANSFER;MCH-8131;SBY;2.425.891;2500
TRX-413284;25-05-2025;N-22832;qris;;Bandung;2.682.791;2500
TRX-406021;20-10-2025;N-21833;BIFAST;;Yogyakarta;10.107;2500
TRX-406979;30-09-2025;N-21132;;MCH-10675;BDG;6.799.409;0
TRX-400938;02-08-2026;N-20119;ATM;;Jkt Sel;1.596.409;2500
TRX-409280;11-06-2025;N-20775;livin;;Surabaya;7.159.775;2500
TRX-406889;19-09-2025;N-22487;qris;;SBY;6.207.193,56;0
TRX-413549;12-11-2025;N-20316;bifast;MCH-10078;Jakarta Selatan;2.622.226;0
TRX-406409;05-11-2026;N-21963;;;Jkt Sel;9.149.614,83;6500
TRX-408912;17-10-2024;N-20357;ATM_LINK;MCH-8375;SBY;9.311.374;2500
TRX-401214;31-13-2026;N-21809;BIFAST;MCH-10911;Jkt Sel;6.800.770;2500
TRX-410736;17-12-2025;N-22102;ATM_LINK;MCH-9634;Surabaya;5.967.859;
TRX-414671;28-06-2026;N-22232;QRIS;;Jakarta Selatan;7.496.196;0
TRX-409467;25-11-2026;N-20991;TRANSFER;;;3.650.366;
TRX-403705;21-07-2025;N-22556;qris;;;7.209.919;2500
TRX-407189;24-08-2025;N-20976;;MCH-9817;Jakarta Selatan;3.633.610;0
TRX-408423;09-08-2026;N-22656;bifast;MCH-9640;BDG;5.764.102;0
TRX-411571;17-02-2025;N-20938;bifast;;Jakarta Selatan;5.643.151;2500
TRX-402228;24-09-2026;N-20236;BIFAST;MCH-9900;Jkt Sel;6.860.567;0
TRX-414656;21-08-2025;N-20798;BIFAST;MCH-9057;Bandung;1.785.344;6500
TRX-409683;07-03-2025;N-21766;qris;MCH-10834;Jakarta Selatan;9.883.089;6500
TRX-407337;27-11-2025;N-22311;livin;;Jkt Sel;3.855.863,90;6500
TRX-413998;24-04-2026;N-99999;bifast;MCH-10516;Jkt Sel;7.159.907;2500
TRX-404082;03-10-2025;N-22680;bifast;;Bandung;4.156.009;2500
TRX-404748;24-01-2025;N-20782;LIVIN;MCH-8617;Surabaya;8.949.888;0
TRX-414485;20-10-2026;N-21521;ATM;;Bandung;738.321;6500
TRX-412109;09-02-2025;N-21179;ATM_LINK;MCH-8853;Bandung;292.577,50;0
TRX-412103;16-03-2026;N-22708;QRIS;;Jkt Sel;2.736.394;0
TRX-402617;20-08-2026;;livin;;;4.740.370;2500
TRX-410273;18-04-2026;N-22079;QRIS;;Bandung;102.076;0
TRX-412144;16-06-2025;N-21666;livin;;Medan;4.944.647;0
TRX-400928;24-01-2025;N-22760;bifast;;Bandung;8.766.127,85;2500
