trx_id,tgl_transaksi,nasabah_code,channel,merchant_code,kota,nominal,biaya_admin
TRX-205000,31-05-2026,N-11134,BI_FAST,MCH-5123,,15499000,
TRX-205001,10-06-2026,N-11388,atm,MCH-5101,Jakarta,2415000,6500.0
TRX-205002,31-05-2026,N-10869,LIVIN,MCH-5039,Surabaya,11472000,2500.0
TRX-205003,15-06-2026,N-11483,ATM_LINK,MCH-5020,BDG,17861000,
TRX-205004,04-05-2026,N-11079,bifast,MCH-5191,Jakarta,713000,
TRX-205005,03-05-2026,N-11014,atm,MCH-5133,JKT,4359000,6500.0
TRX-205006,21-05-2026,N-11453,bifast,MCH-5196,Jakarta,6390000,6500.0
TRX-205007,16-05-2026,N-10046,QRIS,MCH-5146,Jakarta,16426000,0.0
TRX-205008,29-06-2026,N-11357,ATM_LINK,MCH-5051,Bandung,3894000,6500.0
TRX-205009,13-05-2026,N-11099,livin,MCH-5136,Surabaya,15247000,2500.0
TRX-205010,16-05-2026,N-11463,atm,MCH-5082,BDG,17527000,
TRX-205011,01-05-2026,N-11121,QRIS,MCH-5176,JKT,4516000,
TRX-205012,18-06-2026,N-11467,bifast,MCH-5182,Bandung,15622000,2500.0
TRX-205013,26-05-2026,N-11313,atm,MCH-5012,Jakarta Selatan,8605000,6500.0
TRX-205014,07-06-2026,N-10220,LIVIN,,,17909000,
TRX-205015,10-06-2026,N-11384,ATM_LINK,,BDG,19635000,0.0
TRX-205016,12-05-2026,N-10161,ATM,MCH-5175,Jakarta Selatan,16151000,2500.0
TRX-205017,08-05-2026,N-10930,ATM_LINK,MCH-5132,JKT,8745000,
TRX-205018,06-06-2026,N-11438,QRIS,MCH-5107,,4694000,0.0
TRX-205019,12-05-2026,N-11428,LIVIN,MCH-5010,BDG,8878000,
TRX-205020,05-06-2026,N-11141,atm,MCH-5131,Jakarta,15148000,2500.0
TRX-205021,17-05-2026,N-11279,BI_FAST,MCH-5184,Bandung,275000,
TRX-205022,08-05-2026,N-11009,QRIS,,,7489000,
