fact_id;waktu_id;nasabah_id;channel_id;wilayah_id;merchant_id;nominal_transaksi;biaya_admin
1;20260223;205;1;1;0;4051136.0;6500.0
2;20260225;414;2;2;0;6105643.0;2500.0
3;20260401;548;3;0;74;8154877.0;6500.0
4;20260315;210;4;2;0;938295.0;2500.0
5;20260223;87;2;2;19;3144779.0;6500.0
6;20260212;241;3;2;84;3182429.0;2500.0
7;20260327;320;5;1;16;14540286.0;6500.0
8;20260220;611;5;1;0;2025937.0;0.0
9;20260228;188;5;1;21;7112187.0;2500.0
10;20260110;773;2;1;15;14646958.0;6500.0
11;20260224;828;2;0;27;8773000.0;6500.0
12;20260125;718;2;2;55;4559776.0;0.0
13;20260218;813;4;3;0;7947840.0;6500.0
14;20260219;145;3;3;62;12043297.0;6500.0
15;20260126;637;1;1;6;240475.0;2500.0
16;20260108;228;2;3;0;13006533.0;6500.0
17;20260401;795;1;2;96;12741618.0;2500.0
18;20260408;805;5;2;31;8678613.0;0.0
19;20260210;576;2;2;0;7499736.0;0.0
20;20260306;36;4;3;0;6350611.0;6500.0
21;20260119;111;5;2;21;5155986.0;2500.0
22;20260318;107;2;3;97;11434879.0;2500.0
23;20260218;862;2;0;74;10326192.0;6500.0
24;20260326;349;1;3;63;11241709.0;0.0
25;20260311;282;2;2;7;9679914.0;6500.0
26;20260326;256;4;0;22;13123609.0;6500.0
27;20260213;267;4;1;65;7844143.0;2500.0
28;20260404;518;5;3;27;10655140.0;6500.0
29;20260203;768;3;0;65;723050.0;6500.0
30;20260331;951;3;2;0;7818951.0;0.0
31;20260304;631;5;2;17;2647249.0;6500.0
32;20260105;294;3;2;0;9691065.0;0.0
33;20260131;259;2;2;64;2564723.0;6500.0
34;20260331;333;4;1;0;8818550.0;0.0
35;20260202;35;3;0;69;12350971.0;2500.0
36;20260202;605;5;3;51;14715984.0;6500.0
37;20260220;43;3;1;77;10792976.0;0.0
38;20260120;380;4;1;0;6214692.0;0.0
39;20260311;587;5;2;0;11675744.0;0.0
40;20260213;422;3;3;76;13667803.0;0.0
41;20260329;417;1;0;67;13025069.0;6500.0
42;20260301;667;4;2;73;11655662.0;0.0
43;20260131;626;3;0;0;6036919.0;6500.0
44;20260224;725;4;3;0;12290689.0;0.0
45;20260129;499;1;2;35;4676078.0;6500.0
46;20260116;353;5;2;0;7123256.0;2500.0
47;20260314;295;3;2;40;12590692.0;0.0
48;20260118;54;5;3;0;12316554.0;6500.0
49;20260104;293;5;3;34;14010924.0;6500.0
50;20260215;291;1;3;0;10113012.0;0.0
51;20260322;315;1;1;0;8348050.0;2500.0
52;20260124;568;4;2;52;11053920.0;6500.0
53;20260323;649;5;3;76;4188923.0;6500.0
54;20260228;503;4;2;48;5041948.0;2500.0
55;20260218;756;2;0;64;896728.0;6500.0
56;20260402;722;2;3;73;11469605.0;0.0
57;20260301;33;3;1;0;3953376.0;2500.0
58;20260125;291;3;1;0;1014288.0;0.0
59;20260323;668;4;3;6;834412.0;0.0
60;20260124;448;5;2;41;4696691.0;0.0
61;20260122;634;3;3;0;2183873.0;0.0
62;20260111;902;2;2;93;13028691.0;6500.0
63;20260224;473;4;1;16;3525396.0;0.0
64;20260302;172;1;1;21;13699936.0;6500.0
65;20260130;549;2;0;24;14000313.0;6500.0
66;20260221;3;2;0;74;3270935.0;2500.0
67;20260208;588;1;1;0;77943.0;0.0
68;20260125;671;1;3;67;14251198.0;6500.0
69;20260327;775;1;2;72;12209287.0;0.0
70;20260316;287;2;1;31;13463548.0;6500.0
71;20260103;106;5;1;61;3461336.0;2500.0
72;20260404;356;2;1;33;1471420.0;6500.0
73;20260128;772;5;2;92;7806192.0;6500.0
74;20260205;372;5;0;0;2599377.0;2500.0
75;20260202;563;3;3;0;7322675.0;0.0
76;20260407;320;2;3;16;8385647.0;0.0
77;20260320;720;5;3;70;5565624.0;0.0
78;20260105;9;1;2;0;3095312.0;0.0
79;20260404;241;1;2;0;5437206.0;0.0
80;20260217;818;5;3;55;243573.0;2500.0
81;20260119;296;3;2;100;5149082.0;0.0
82;20260307;308;2;1;74;12010044.0;0.0
83;20260411;846;4;1;48;7006142.0;2500.0
84;20260312;6;4;1;13;4602113.0;0.0
85;20260313;229;5;3;5;14326488.0;6500.0
86;20260306;595;2;0;0;8415874.0;6500.0
87;20260103;577;1;1;88;3892199.0;6500.0
88;20260114;60;2;3;28;10678521.0;0.0
89;20260302;367;5;2;21;8027906.0;6500.0
90;20260213;116;5;2;46;4230427.0;2500.0
91;20260129;45;1;2;14;11429939.0;6500.0
92;20260110;773;5;3;0;3629765.0;6500.0
93;20260108;958;1;3;65;2749526.0;0.0
94;20260410;610;5;1;24;14270378.0;0.0
95;20260305;870;1;3;29;3192647.0;2500.0
96;20260408;218;1;3;86;14902113.0;0.0
97;20260114;683;5;0;0;13237875.0;6500.0
98;20260126;131;5;2;0;5294927.0;2500.0
99;20260116;931;2;0;99;375561.0;2500.0
100;20260102;968;1;3;3;1641931.0;0.0
101;20260220;727;1;1;26;3052480.0;2500.0
102;20260402;276;5;3;0;6235596.0;6500.0
103;20260210;391;2;2;9;12621779.0;6500.0
104;20260405;832;3;1;5;5996052.0;0.0
105;20260124;344;2;1;0;353679.0;0.0
106;20260115;714;4;3;32;9832240.0;0.0
107;20260217;390;5;0;0;13805024.0;2500.0
108;20260120;809;5;3;2;3142575.0;2500.0
109;20260208;273;2;2;7;5444088.0;2500.0
110;20260102;45;4;0;19;9619712.0;0.0
111;20260218;684;1;0;0;8485500.0;2500.0
112;20260222;924;5;2;66;10273049.0;0.0
113;20260302;443;3;2;24;8885242.0;2500.0
114;20260114;346;2;1;99;13460727.0;6500.0
115;20260126;397;3;3;5;1314019.0;0.0
116;20260104;948;3;2;17;7532004.0;0.0
117;20260207;70;5;1;51;2897398.0;0.0
118;20260211;809;1;3;43;7108881.0;6500.0
119;20260128;419;2;0;0;7646639.0;2500.0
120;20260207;814;4;3;0;10642969.0;2500.0
121;20260113;46;4;3;68;1326784.0;2500.0
122;20260327;621;5;1;0;8847868.0;6500.0
123;20260323;829;5;3;59;3581604.0;2500.0
124;20260208;917;2;2;0;2842800.0;0.0
125;20260409;179;1;1;0;9799155.0;0.0
126;20260410;825;2;1;0;9766809.0;6500.0
127;20260302;433;4;3;0;13674783.0;0.0
128;20260410;476;4;3;0;9129087.0;6500.0
129;20260319;705;5;2;22;6985350.0;6500.0
130;20260311;446;4;3;4;7162812.0;0.0
131;20260330;775;2;1;76;374395.0;2500.0
132;20260330;35;4;0;47;4013130.0;0.0
133;20260308;288;1;3;0;8083525.0;0.0
134;20260126;69;3;2;0;8399383.0;0.0
135;20260316;963;2;0;0;11926464.0;6500.0
136;20260325;332;1;3;79;14909567.0;2500.0
137;20260130;882;5;2;0;6501918.0;2500.0
138;20260328;625;4;3;47;3819743.0;2500.0
139;20260307;854;2;3;0;14226488.0;6500.0
140;20260123;627;3;0;75;7735945.0;2500.0
141;20260106;711;2;1;0;12562145.0;2500.0
142;20260303;94;5;1;25;14198948.0;0.0
143;20260129;337;2;2;92;11525894.0;2500.0
144;20260122;391;2;2;0;7819951.0;2500.0
145;20260312;982;2;2;0;14923198.0;2500.0
146;20260402;635;5;1;9;9137160.0;2500.0
147;20260227;610;2;0;63;7944961.0;2500.0
148;20260207;907;5;1;57;2839950.0;2500.0
149;20260108;526;2;3;59;8658185.0;6500.0
150;20260411;586;3;1;2;8820288.0;6500.0
151;20260317;180;5;2;63;12527479.0;0.0
152;20260105;482;5;2;41;14956695.0;6500.0
153;20260126;105;2;2;76;14039846.0;0.0
154;20260216;583;5;3;24;11440933.0;2500.0
155;20260107;136;2;2;54;1277920.0;6500.0
156;20260204;671;2;2;61;9072384.0;2500.0
157;20260125;740;2;3;0;7402652.0;2500.0
158;20260208;200;2;0;0;9739917.0;2500.0
159;20260331;767;2;2;0;13118970.0;0.0
160;20260402;117;1;0;97;14526403.0;6500.0
161;20260302;929;2;1;65;6939966.0;6500.0
162;20260126;899;2;1;6;11221501.0;2500.0
163;20260218;737;5;0;31;2170754.0;2500.0
164;20260111;112;1;1;21;7285777.0;0.0
165;20260113;565;5;3;0;3454064.0;6500.0
166;20260406;356;2;2;62;14560506.0;0.0
167;20260204;471;5;0;34;11112573.0;6500.0
168;20260324;128;5;0;41;7743214.0;2500.0
169;20260106;722;5;1;13;9034012.0;6500.0
170;20260317;487;4;3;43;4452616.0;2500.0
171;20260110;809;3;2;31;13649682.0;6500.0
172;20260329;511;4;3;2;3042165.0;6500.0
173;20260317;437;3;0;0;1479985.0;2500.0
174;20260319;109;4;0;0;4133066.0;0.0
175;20260330;738;5;1;0;2672652.0;0.0
176;20260228;294;2;3;0;6803624.0;0.0
177;20260221;433;5;3;0;9262576.0;0.0
178;20260331;879;3;1;0;14964396.0;6500.0
179;20260208;522;1;2;70;14701902.0;0.0
180;20260310;679;5;3;0;10711400.0;2500.0
181;20260131;35;2;0;42;6241325.0;6500.0
182;20260207;628;3;0;29;8559596.0;0.0
183;20260127;412;2;0;0;8303805.0;6500.0
184;20260219;80;2;3;0;341657.0;0.0
185;20260128;476;4;2;96;6622913.0;0.0
186;20260106;469;5;3;77;1774297.0;2500.0
187;20260110;266;5;2;58;4548430.0;0.0
188;20260308;239;3;2;92;4227343.0;6500.0
189;20260315;283;5;1;0;2088548.0;6500.0
190;20260409;611;1;1;62;5323152.0;6500.0
191;20260315;276;5;2;42;577448.0;0.0
192;20260306;827;1;1;0;13249405.0;6500.0
193;20260215;316;3;2;4;1597434.0;2500.0
194;20260207;365;4;2;71;14241839.0;0.0
195;20260217;689;3;0;75;8891503.0;2500.0
196;20260303;575;4;1;41;10579099.0;0.0
197;20260123;673;5;2;88;1771918.0;0.0
198;20260212;145;1;0;28;4514001.0;2500.0
199;20260212;130;3;1;0;14423460.0;6500.0
200;20260127;670;2;3;0;6910095.0;6500.0
201;20260209;356;2;3;0;12947423.0;6500.0
202;20260106;398;2;1;0;11017113.0;6500.0
203;20260302;219;5;3;0;13582234.0;6500.0
204;20260408;644;4;1;80;3580377.0;0.0
205;20260109;623;3;2;3;6584453.0;6500.0
206;20260207;851;1;3;84;674623.0;2500.0
207;20260317;240;5;1;74;12189865.0;6500.0
208;20260331;492;5;1;0;6268255.0;0.0
209;20260403;754;5;3;30;11488003.0;0.0
210;20260330;225;2;2;93;4304738.0;6500.0
211;20260302;677;5;0;59;1782328.0;0.0
212;20260130;460;4;3;0;1557299.0;0.0
213;20260210;590;5;3;71;13994101.0;2500.0
214;20260111;679;5;1;0;14554720.0;0.0
215;20260115;159;4;2;0;922165.0;2500.0
216;20260409;947;5;2;20;8138691.0;0.0
217;20260117;886;2;0;75;13480463.0;0.0
218;20260402;400;2;1;10;1523768.0;2500.0
