trx_id;tgl_transaksi;nasabah_code;channel;merchant_code;kota;nominal;biaya_admin
TRX-200001;23-02-2026;N-10205;ATM;;Jakarta Selatan;4051136;6500.0
TRX-200002;25-02-2026;N-10414;BI_FAST;;Bandung;6105643;2500.0
TRX-200003;01-04-2026;N-10548;QRIS;MCH-5074;;8154877;6500.0
TRX-200004;15-03-2026;N-10210;ATM_LINK;;BDG;938295;2500.0
TRX-200005;23-02-2026;N-10087;BI_FAST;MCH-5019;Bandung;3144779;6500.0
TRX-200006;12-02-2026;N-10241;QRIS;MCH-5084;Bandung;3182429;2500.0
TRX-200007;27-03-2026;N-10320;livin;MCH-5016;Jakarta Selatan;14540286;6500.0
TRX-200008;20-02-2026;N-10611;LIVIN;;Jakarta Selatan;2025937;0.0
TRX-200009;28-02-2026;N-10188;livin;MCH-5021;Jakarta Selatan;7112187;2500.0
TRX-200010;10-01-2026;N-10773;bifast;MCH-5015;Jakarta Selatan;14646958;6500.0
TRX-200011;24-02-2026;N-10828;bifast;MCH-5027;;8773000;6500.0
TRX-200012;25-01-2026;N-10718;bifast;MCH-5055;BDG;4559776;0.0
TRX-200013;18-02-2026;N-10813;ATM_LINK;;SBY;7947840;6500.0
TRX-200014;19-02-2026;N-10145;QRIS;MCH-5062;SBY;12043297;6500.0
TRX-200015;26-01-2026;N-10637;ATM;MCH-5006;Jkt Sel;240475;2500.0
TRX-200016;08-01-2026;N-10228;BI_FAST;;Surabaya;13006533;6500.0
TRX-200017;01-04-2026;N-10795;ATM;MCH-5096;BDG;12741618;2500.0
TRX-200018;08-04-2026;N-10805;LIVIN;MCH-5031;Bandung;8678613;0.0
TRX-200019;10-02-2026;N-10576;BI_FAST;;BDG;7499736;0.0
TRX-200020;06-03-2026;N-10036;ATM_LINK;;SBY;6350611;6500.0
TRX-200021;19-01-2026;N-10111;LIVIN;MCH-5021;Bandung;5155986;2500.0
TRX-200022;18-03-2026;N-10107;bifast;MCH-5097;Surabaya;11434879;2500.0
TRX-200023;18-02-2026;N-10862;BI_FAST;MCH-5074;;10326192;6500.0
TRX-200024;26-03-2026;N-10349;ATM;MCH-5063;Surabaya;11241709;0.0
